"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 08:32:52 GMT 2023","Thu May 11 08:32:52 GMT 2023","821","hw.code","test_cart","TestCart","","","test_block_payment_card_unauth_login",""
"passed","Thu May 11 08:32:58 GMT 2023","Thu May 11 08:32:59 GMT 2023","770","hw.code","test_cart","TestCart","","","test_block_user_data_unauth",""
"passed","Thu May 11 08:31:14 GMT 2023","Thu May 11 08:31:15 GMT 2023","972","hw.code","test_address_popup","TestAddressPopup","","","test_apply_button",""
"passed","Thu May 11 08:35:24 GMT 2023","Thu May 11 08:35:25 GMT 2023","853","hw.code","test_header","TestHeader","","","test_rightHeaderButtons",""
"passed","Thu May 11 08:35:42 GMT 2023","Thu May 11 08:35:43 GMT 2023","1356","hw.code","test_product_title","TestProductTitle","","","test_is_photo_broken",""
"passed","Thu May 11 08:35:46 GMT 2023","Thu May 11 08:35:48 GMT 2023","2131","hw.code","test_promocode","TestPromocode","","","test_empty_input",""
"passed","Thu May 11 08:34:47 GMT 2023","Thu May 11 08:34:48 GMT 2023","609","hw.code","test_create_commet","TestCreateComment","","","test_unauth",""
"passed","Thu May 11 08:35:58 GMT 2023","Thu May 11 08:35:58 GMT 2023","757","hw.code","test_view_comment","TestViewComment","","","test_check_href_photos",""
"passed","Thu May 11 08:32:04 GMT 2023","Thu May 11 08:32:05 GMT 2023","972","hw.code","test_cart","TestCart","","","test_item_checkbox_inactive",""
"passed","Thu May 11 08:35:58 GMT 2023","Thu May 11 08:35:59 GMT 2023","793","hw.code","test_view_comment","TestViewComment","","","test_check_if_photo_broken",""
"passed","Thu May 11 08:33:33 GMT 2023","Thu May 11 08:33:34 GMT 2023","823","hw.code","test_cart","TestCart","","","test_total_unauth_message_login_button",""
"passed","Thu May 11 08:33:12 GMT 2023","Thu May 11 08:33:12 GMT 2023","812","hw.code","test_cart","TestCart","","","test_sum_total_price_and_discount",""
"broken","Thu May 11 08:35:37 GMT 2023","Thu May 11 08:35:37 GMT 2023","12","hw.code","test_horizontal_catalog_product_page","TestHorizontalScroll","","","test_photo_broken",""
"passed","Thu May 11 08:31:11 GMT 2023","Thu May 11 08:31:12 GMT 2023","1149","hw.code","test_address_popup","TestAddressPopup","","","test_cancel_button",""
"passed","Thu May 11 08:35:56 GMT 2023","Thu May 11 08:35:58 GMT 2023","1382","hw.code","test_view_comment","TestViewComment","","","test_page_title",""
"passed","Thu May 11 08:32:07 GMT 2023","Thu May 11 08:32:09 GMT 2023","1046","hw.code","test_cart","TestCart","","","test_item_checkbox_active",""
"passed","Thu May 11 08:31:07 GMT 2023","Thu May 11 08:31:08 GMT 2023","1149","hw.code","test_address_popup","TestAddressPopup","","","test_add_address_button",""
"passed","Thu May 11 08:32:36 GMT 2023","Thu May 11 08:32:37 GMT 2023","768","hw.code","test_cart","TestCart","","","test_delivery_date",""
"passed","Thu May 11 08:35:55 GMT 2023","Thu May 11 08:35:56 GMT 2023","1550","hw.code","test_rating","TestChangeItemCountInCart","","","test_recommendation_change_count",""
"passed","Thu May 11 08:32:27 GMT 2023","Thu May 11 08:32:28 GMT 2023","893","hw.code","test_cart","TestCart","","","test_plus_button",""
"passed","Thu May 11 08:35:53 GMT 2023","Thu May 11 08:35:55 GMT 2023","2229","hw.code","test_rating","TestChangeItemCountInCart","","","test_product_change_count",""
"passed","Thu May 11 08:33:47 GMT 2023","Thu May 11 08:33:53 GMT 2023","6594","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_product_view_comment_change_count",""
"passed","Thu May 11 08:34:18 GMT 2023","Thu May 11 08:34:24 GMT 2023","6066","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_search_page_change_count",""
"passed","Thu May 11 08:34:48 GMT 2023","Thu May 11 08:34:57 GMT 2023","9884","hw.code","test_favourites","TestCategorySelection","","","test_product_category_favourites",""
"passed","Thu May 11 08:33:53 GMT 2023","Thu May 11 08:33:58 GMT 2023","5230","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_product_add_comment_change_count",""
"broken","Thu May 11 08:35:32 GMT 2023","Thu May 11 08:35:37 GMT 2023","5109","hw.code","test_horizontal_catalog_product_page","TestHorizontalScroll","","","test_title_link",""
"passed","Thu May 11 08:34:35 GMT 2023","Thu May 11 08:34:47 GMT 2023","11689","hw.code","test_create_commet","TestCreateComment","","","test_page_auth",""
"passed","Thu May 11 08:32:42 GMT 2023","Thu May 11 08:32:43 GMT 2023","769","hw.code","test_cart","TestCart","","","test_delivery_time",""
"passed","Thu May 11 08:34:24 GMT 2023","Thu May 11 08:34:27 GMT 2023","2655","hw.code","test_catalog","TestCategorySelection","","","test_category_search_favourites",""
"passed","Thu May 11 08:35:19 GMT 2023","Thu May 11 08:35:20 GMT 2023","1553","hw.code","test_footer","TestFooter","","","test_footerLogo",""
"passed","Thu May 11 08:35:38 GMT 2023","Thu May 11 08:35:41 GMT 2023","2572","hw.code","test_login","TestLogin","","","test_login",""
"passed","Thu May 11 08:31:47 GMT 2023","Thu May 11 08:31:48 GMT 2023","119","hw.code","test_cart","TestCart","","","test_empty_cart",""
"passed","Thu May 11 08:31:36 GMT 2023","Thu May 11 08:31:38 GMT 2023","2178","hw.code","test_card_popup","TestCardPopup","","","test_apply_button",""
"passed","Thu May 11 08:33:58 GMT 2023","Thu May 11 08:34:05 GMT 2023","6732","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_home_page_change_count",""
"passed","Thu May 11 08:34:27 GMT 2023","Thu May 11 08:34:29 GMT 2023","1719","hw.code","test_catalog","TestCategorySelection","","","test_category_category_favourites",""
"passed","Thu May 11 08:33:01 GMT 2023","Thu May 11 08:33:02 GMT 2023","804","hw.code","test_cart","TestCart","","","test_block_user_data_unauth_login",""
"passed","Thu May 11 08:33:36 GMT 2023","Thu May 11 08:33:38 GMT 2023","2117","hw.code","test_cart","TestCart","","","test_button_make_order",""
"passed","Thu May 11 08:32:49 GMT 2023","Thu May 11 08:32:49 GMT 2023","775","hw.code","test_cart","TestCart","","","test_block_payment_card_unauth",""
"passed","Thu May 11 08:31:17 GMT 2023","Thu May 11 08:31:21 GMT 2023","3060","hw.code","test_address_popup","TestAddressPopup","","","test_select_address",""
"passed","Thu May 11 08:33:39 GMT 2023","Thu May 11 08:33:47 GMT 2023","7191","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_product_change_count",""
"passed","Thu May 11 08:31:40 GMT 2023","Thu May 11 08:31:43 GMT 2023","2280","hw.code","test_card_popup","TestCardPopup","","","test_select_card",""
"passed","Thu May 11 08:31:23 GMT 2023","Thu May 11 08:31:25 GMT 2023","2151","hw.code","test_card_popup","TestCardPopup","","","test_open_card_popup",""
"passed","Thu May 11 08:32:39 GMT 2023","Thu May 11 08:32:40 GMT 2023","877","hw.code","test_cart","TestCart","","","test_select_delivery_date",""
"passed","Thu May 11 08:32:14 GMT 2023","Thu May 11 08:32:15 GMT 2023","835","hw.code","test_cart","TestCart","","","test_product_photo",""
"passed","Thu May 11 08:34:57 GMT 2023","Thu May 11 08:35:07 GMT 2023","9117","hw.code","test_favourites","TestCategorySelection","","","test_category_search_favourites",""
"passed","Thu May 11 08:35:10 GMT 2023","Thu May 11 08:35:19 GMT 2023","8528","hw.code","test_favourites","TestCategorySelection","","","test_category_category_favourites",""
"passed","Thu May 11 08:32:11 GMT 2023","Thu May 11 08:32:12 GMT 2023","771","hw.code","test_cart","TestCart","","","test_product_name_link",""
"passed","Thu May 11 08:32:01 GMT 2023","Thu May 11 08:32:02 GMT 2023","1215","hw.code","test_cart","TestCart","","","test_checkbox_select_all_active",""
"passed","Thu May 11 08:35:41 GMT 2023","Thu May 11 08:35:42 GMT 2023","1513","hw.code","test_product_title","TestProductTitle","","","test_product_title",""
"passed","Thu May 11 08:33:18 GMT 2023","Thu May 11 08:33:18 GMT 2023","797","hw.code","test_cart","TestCart","","","test_total_date_delivery",""
"passed","Thu May 11 08:33:30 GMT 2023","Thu May 11 08:33:31 GMT 2023","774","hw.code","test_cart","TestCart","","","test_total_unauth_message",""
"passed","Thu May 11 08:33:24 GMT 2023","Thu May 11 08:33:25 GMT 2023","823","hw.code","test_cart","TestCart","","","test_href_in_block_total_date_time_delivery",""
"passed","Thu May 11 08:32:45 GMT 2023","Thu May 11 08:32:46 GMT 2023","876","hw.code","test_cart","TestCart","","","test_select_delivery_time",""
"passed","Thu May 11 08:32:20 GMT 2023","Thu May 11 08:32:21 GMT 2023","829","hw.code","test_cart","TestCart","","","test_delete_product_button",""
"passed","Thu May 11 08:32:23 GMT 2023","Thu May 11 08:32:24 GMT 2023","1015","hw.code","test_cart","TestCart","","","test_minus_button",""
"passed","Thu May 11 08:34:13 GMT 2023","Thu May 11 08:34:18 GMT 2023","5233","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_favourite_page_change_count",""
"passed","Thu May 11 08:32:55 GMT 2023","Thu May 11 08:32:55 GMT 2023","807","hw.code","test_cart","TestCart","","","test_block_payment_card_unauth_registration",""
"passed","Thu May 11 08:35:20 GMT 2023","Thu May 11 08:35:24 GMT 2023","3502","hw.code","test_header","TestHeader","","","test_header_profile_button",""
"passed","Thu May 11 08:31:27 GMT 2023","Thu May 11 08:31:29 GMT 2023","2147","hw.code","test_card_popup","TestCardPopup","","","test_add_card_button",""
"passed","Thu May 11 08:31:32 GMT 2023","Thu May 11 08:31:34 GMT 2023","2178","hw.code","test_card_popup","TestCardPopup","","","test_cancel_button",""
"broken","Thu May 11 08:35:37 GMT 2023","Thu May 11 08:35:38 GMT 2023","1166","hw.code","test_horizontal_catalog_product_page","TestHorizontalScroll","","","test_scroll_buttons",""
"passed","Thu May 11 08:31:57 GMT 2023","Thu May 11 08:31:58 GMT 2023","969","hw.code","test_cart","TestCart","","","test_checkbox_select_all_inactive",""
"passed","Thu May 11 08:35:07 GMT 2023","Thu May 11 08:35:10 GMT 2023","3649","hw.code","test_favourites","TestCategorySelection","","","test_category_favourites_page_favourites",""
"passed","Thu May 11 08:33:27 GMT 2023","Thu May 11 08:33:28 GMT 2023","768","hw.code","test_cart","TestCart","","","test_href_in_block_total_card",""
"failed","Thu May 11 08:35:25 GMT 2023","Thu May 11 08:35:32 GMT 2023","6967","hw.code","test_header","TestHeader","","","test_searchTest",""
"passed","Thu May 11 08:31:04 GMT 2023","Thu May 11 08:31:05 GMT 2023","882","hw.code","test_address_popup","TestAddressPopup","","","test_open_address_popup",""
"passed","Thu May 11 08:36:08 GMT 2023","Thu May 11 08:36:08 GMT 2023","818","hw.code","test_view_comment","TestViewComment","","","test_unauth_add_comment_button",""
"passed","Thu May 11 08:34:33 GMT 2023","Thu May 11 08:34:35 GMT 2023","1860","hw.code","test_catalog_selector","TestCategorySelection","","","test_home_category_select",""
"passed","Thu May 11 08:33:21 GMT 2023","Thu May 11 08:33:22 GMT 2023","789","hw.code","test_cart","TestCart","","","test_total_time_delivery",""
"passed","Thu May 11 08:31:45 GMT 2023","Thu May 11 08:31:45 GMT 2023","3","hw.code","test_cart","TestCart","","","test_title",""
"passed","Thu May 11 08:35:50 GMT 2023","Thu May 11 08:35:52 GMT 2023","2222","hw.code","test_promocode","TestPromocode","","","test_error_symbols",""
"passed","Thu May 11 08:34:29 GMT 2023","Thu May 11 08:34:33 GMT 2023","4733","hw.code","test_catalog_selector","TestCategorySelection","","","test_header_category_select",""
"passed","Thu May 11 08:33:04 GMT 2023","Thu May 11 08:33:05 GMT 2023","827","hw.code","test_cart","TestCart","","","test_block_user_data_unauth_registration",""
"passed","Thu May 11 08:32:17 GMT 2023","Thu May 11 08:32:18 GMT 2023","864","hw.code","test_cart","TestCart","","","test_favorites_button",""
"passed","Thu May 11 08:31:54 GMT 2023","Thu May 11 08:31:55 GMT 2023","1036","hw.code","test_cart","TestCart","","","test_all_checkbox_active",""
"passed","Thu May 11 08:34:06 GMT 2023","Thu May 11 08:34:13 GMT 2023","6556","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_category_page_change_count",""
"passed","Thu May 11 08:33:07 GMT 2023","Thu May 11 08:33:09 GMT 2023","2083","hw.code","test_cart","TestCart","","","test_edit_user_data_button",""
"passed","Thu May 11 08:33:15 GMT 2023","Thu May 11 08:33:15 GMT 2023","802","hw.code","test_cart","TestCart","","","test_count_product",""
"passed","Thu May 11 08:34:05 GMT 2023","Thu May 11 08:34:06 GMT 2023","1157","hw.code","test_cart_count","TestChangeItemCountInCart","","","test_recommendation_change_count",""
"passed","Thu May 11 08:31:50 GMT 2023","Thu May 11 08:31:51 GMT 2023","1351","hw.code","test_cart","TestCart","","","test_button_clear_cart",""
"passed","Thu May 11 08:32:30 GMT 2023","Thu May 11 08:32:34 GMT 2023","3933","hw.code","test_cart","TestCart","","","test_add_product_to_favorites",""
"passed","Thu May 11 08:35:59 GMT 2023","Thu May 11 08:36:08 GMT 2023","8318","hw.code","test_view_comment","TestViewComment","","","test_auth_add_comment_button",""
